#Organism Name,Organism Groups,Size(Mb),Chromosomes,Organelles,Plasmids,Assemblies
"Methanothermobacter","Archaea;Euryarchaeota;Methanomada group",1.74103,1,0,0,11
"Methanothermobacter defluvii","Archaea;Euryarchaeota;Methanomada group",1.70956,0,0,0,1
"Methanothermobacter marburgensis","Archaea;Euryarchaeota;Methanomada group",1.63914,1,0,1,1
"Methanothermobacter tenebrarum","Archaea;Euryarchaeota;Methanomada group",1.46787,0,0,0,1
"Methanothermobacter thermautotrophicus","Archaea;Euryarchaeota;Methanomada group",1.75138,1,0,0,4
"Methanothermobacter wolfeii","Archaea;Euryarchaeota;Methanomada group",1.68689,1,0,0,2
"Methanothermococcus","Archaea;Euryarchaeota;Methanomada group",1.43867,0,0,0,1
"Methanothermococcus okinawensis","Archaea;Euryarchaeota;Methanomada group",1.67745,1,0,1,8
"Methanothermococcus thermolithotrophicus","Archaea;Euryarchaeota;Methanomada group",1.68693,0,0,0,1
"Methanothermus fervidus","Archaea;Euryarchaeota;Methanomada group",1.24334,1,0,0,1
"Methanotorris formicicus","Archaea;Euryarchaeota;Methanomada group",1.81878,0,0,0,1
"Methanotorris igneus","Archaea;Euryarchaeota;Methanomada group",1.8542,1,0,0,1
"uncultured Methanobacteriaceae archaeon","Archaea;Euryarchaeota;Methanomada group",1.77425,0,0,0,2
